film_title,category_name,rental_count
Juggler Hardly,Animation,32
Dogma Family,Animation,30
Storm Happiness,Animation,29
Blackout Private,Animation,27
Forrester Comancheros,Animation,27
Gangs Pride,Animation,27
Tracy Cider,Animation,26
Oscar Gold,Animation,25
Double Wrath,Animation,25
Clash Freddy,Animation,25
Telemark Heartbreakers,Animation,25
Sunrise League,Animation,24
Horn Working,Animation,24
Oz Liaisons,Animation,24
Snowman Rollercoaster,Animation,23
Titanic Boondock,Animation,23
Fight Jawbreaker,Animation,22
Alter Victory,Animation,22
Falcon Volume,Animation,22
Packer Madigan,Animation,22
Borrowers Bedazzled,Animation,22
Crossroads Casualties,Animation,21
Wait Cider,Animation,21
Anaconda Confessions,Animation,21
Flying Hook,Animation,20
Harper Dying,Animation,20
Sleepless Monsoon,Animation,20
Room Roman,Animation,20
Club Graffiti,Animation,19
Canyon Stock,Animation,19
Doors President,Animation,19
Pond Seattle,Animation,19
Thief Pelican,Animation,19
Insects Stone,Animation,18
Mission Zoolander,Animation,18
Inch Jet,Animation,18
Carol Texas,Animation,18
Wonka Sea,Animation,18
Lawless Vision,Animation,17
Intentions Empire,Animation,17
Sugar Wonka,Animation,17
Bikini Borrowers,Animation,17
Potter Connecticut,Animation,17
Watch Tracy,Animation,16
Pride Alamo,Animation,16
Sons Interview,Animation,15
Nash Chocolat,Animation,15
Donnie Alley,Animation,14
Turn Star,Animation,14
Hook Chariots,Animation,13
Champion Flatliners,Animation,13
Massage Image,Animation,12
Theory Mermaid,Animation,11
Potluck Mixed,Animation,11
Ghostbusters Elf,Animation,9
Dares Pluto,Animation,9
Miracle Virtual,Animation,9
Desire Alien,Animation,8
Punk Divorce,Animation,8
Luke Mummy,Animation,7
Ishtar Rocketeer,Animation,7
Menagerie Rushmore,Animation,7
Early Home,Animation,7
Duck Racer,Animation,6
Robbers Joon,Children,31
Idols Snatchers,Children,30
Sweethearts Suspects,Children,29
Giant Troopers,Children,28
Invasion Cyclone,Children,27
Shepherd Midsummer,Children,25
Jumping Wrath,Children,24
Fargo Gandhi,Children,24
Strangelove Desire,Children,24
Crooked Frogmen,Children,23
Murder Antitrust,Children,23
Bear Graceland,Children,22
Empire Malkovich,Children,21
Ghost Groundhog,Children,21
Christmas Moonshine,Children,21
Splendor Patton,Children,21
Sabrina Midnight,Children,21
Heartbreakers Bright,Children,20
Wrong Behavior,Children,20
Backlash Undefeated,Children,19
Gorgeous Bingo,Children,19
Fury Murder,Children,19
Sundance Invasion,Children,19
Polish Brooklyn,Children,18
Scarface Bang,Children,18
Zoolander Fiction,Children,17
Noon Papi,Children,17
Holocaust Highball,Children,17
Graduate Lord,Children,16
Hall Cassidy,Children,16
Labyrinth League,Children,15
Tootsie Pilot,Children,15
Model Fish,Children,15
Betrayed Rear,Children,15
Circus Youth,Children,15
Cabin Flash,Children,15
Microcosmos Paradise,Children,13
Hollywood Anonymous,Children,13
Forever Candidate,Children,13
Uptown Young,Children,12
Twisted Pirates,Children,11
Stranger Strangers,Children,11
Language Cowboy,Children,11
Ties Hunger,Children,11
Santa Paris,Children,11
Beneath Rush,Children,10
Maker Gables,Children,10
Clockwork Paradise,Children,10
Legally Secretary,Children,9
Daughter Madigan,Children,9
Casper Dragonfly,Children,8
Doctor Grail,Children,7
Magic Mallrats,Children,7
Jersey Sassy,Children,6
Tequila Past,Children,6
Comancheros Enemy,Children,6
Warlock Werewolf,Children,6
Full Flatliners,Children,5
Timberland Sky,Classics,31
Frost Head,Classics,30
Voyage Legally,Classics,28
Gilmore Boiled,Classics,28
Detective Vision,Classics,27
Loathing Legally,Classics,27
Malkovich Pet,Classics,26
Hyde Doctor,Classics,26
Westward Seabiscuit,Classics,26
Island Exorcist,Classics,26
Dynamite Tarzan,Classics,25
Tomorrow Hustler,Classics,25
Center Dinosaur,Classics,24
Color Philadelphia,Classics,24
Bound Cheaper,Classics,24
Steel Santa,Classics,23
Arizona Bang,Classics,21
Dracula Crystal,Classics,21
Million Ace,Classics,20
Prejudice Oleander,Classics,20
Jerk Paycheck,Classics,20
Patient Sister,Classics,19
Requiem Tycoon,Classics,19
Galaxy Sweethearts,Classics,18
Candidate Perdition,Classics,18
Hope Tootsie,Classics,18
Core Suit,Classics,18
Roots Remember,Classics,17
Musketeers Wait,Classics,17
League Hellfighters,Classics,17
Summer Scarface,Classics,16
Jeepers Wedding,Classics,16
Wasteland Divine,Classics,15
Pajama Jawbreaker,Classics,14
Lovely Jingle,Classics,14
Creepers Kane,Classics,14
Jingle Sagebrush,Classics,13
Spiking Element,Classics,13
Towers Hurricane,Classics,11
Beast Hunchback,Classics,11
October Submarine,Classics,11
Iron Moon,Classics,11
Lover Truman,Classics,10
Right Cranes,Classics,10
Jeopardy Encino,Classics,10
Gilbert Pelican,Classics,9
Holy Tadpole,Classics,9
Snatchers Montezuma,Classics,9
Magnificent Chitty,Classics,8
Lights Deer,Classics,8
Cruelty Unforgiven,Classics,7
Sling Luke,Classics,6
Extraordinary Conquerer,Classics,6
Conspiracy Spirit,Classics,5
Zorro Ark,Comedy,31
