film_title,category_name,rental_duration,standard_quartile
Airplane Sierra,Comedy,6,1
Alaska Phantom,Music,6,1
Alice Fantasia,Classics,6,1
Alone Trip,Music,3,1
Alter Victory,Animation,6,1
Amelie Hellfighters,Music,4,1
Anaconda Confessions,Animation,3,1
Anthem Luke,Comedy,5,1
Argonauts Town,Animation,7,1
Arizona Bang,Classics,3,1
Backlash Undefeated,Children,3,1
Balloon Homeward,Music,5,1
Banger Pinocchio,Music,5,1
Bear Graceland,Children,4,1
Beast Hunchback,Classics,3,1
Beneath Rush,Children,6,1
Betrayed Rear,Children,5,1
Bikini Borrowers,Animation,7,1
Birch Antitrust,Music,4,1
Birdcage Casper,Music,4,1
Blackout Private,Animation,7,1
Boogie Amelie,Music,6,1
Borrowers Bedazzled,Animation,7,1
Bound Cheaper,Classics,5,1
Bringing Hysterical,Comedy,7,1
Cabin Flash,Children,4,1
Candidate Perdition,Classics,4,1
Canyon Stock,Animation,7,1
Caper Motions,Comedy,6,1
Carol Texas,Animation,4,1
Casper Dragonfly,Children,3,1
Cat Coneheads,Comedy,5,1
Center Dinosaur,Classics,5,1
Chamber Italian,Music,7,1
Champion Flatliners,Animation,4,1
Christmas Moonshine,Children,7,1
Circus Youth,Children,5,1
Clash Freddy,Animation,6,1
Clockwork Paradise,Children,7,1
Clones Pinocchio,Music,6,1
Closer Bang,Comedy,5,1
Club Graffiti,Animation,4,1
Clue Grail,Music,6,1
Color Philadelphia,Classics,6,1
Comancheros Enemy,Children,5,1
Confidential Interview,Music,6,1
Connection Microcosmos,Comedy,6,1
Conspiracy Spirit,Classics,4,1
Control Anthem,Comedy,7,1
Core Suit,Classics,3,1
Crazy Home,Comedy,7,1
Creepers Kane,Classics,5,1
Crooked Frogmen,Children,6,1
Crossroads Casualties,Animation,5,1
Cruelty Unforgiven,Classics,7,1
Daddy Pittsburgh,Comedy,5,1
Dares Pluto,Animation,7,1
Daughter Madigan,Children,3,1
Deer Virginian,Music,7,1
Desire Alien,Animation,7,1
Detective Vision,Classics,4,1
Doctor Grail,Children,4,1
Dogma Family,Animation,5,1
Donnie Alley,Animation,4,1
Doom Dancing,Comedy,4,1
Doors President,Animation,3,1
Dorado Notting,Music,5,1
Double Wrath,Animation,4,1
Downhill Enough,Comedy,3,1
Dracula Crystal,Classics,7,1
Driving Polish,Music,6,1
Duck Racer,Animation,4,1
Dying Maker,Comedy,5,1
Dynamite Tarzan,Classics,4,2
Early Home,Animation,6,2
Element Freddy,Comedy,6,2
Elf Murder,Music,4,2
Empire Malkovich,Children,7,2
Enemy Odds,Music,5,2
Extraordinary Conquerer,Classics,6,2
Falcon Volume,Animation,5,2
Fargo Gandhi,Children,3,2
Ferris Mother,Comedy,3,2
Fight Jawbreaker,Animation,3,2
Fireball Philadelphia,Comedy,4,2
Flintstones Happiness,Comedy,3,2
Floats Garden,Animation,6,2
Flying Hook,Animation,6,2
Forever Candidate,Children,7,2
Forrester Comancheros,Animation,7,2
Frankenstein Stranger,Comedy,7,2
Freaky Pocus,Music,7,2
Freedom Cleopatra,Comedy,5,2
Frost Head,Classics,5,2
Full Flatliners,Children,6,2
Fury Murder,Children,3,2
Galaxy Sweethearts,Classics,4,2
Gangs Pride,Animation,4,2
Ghostbusters Elf,Animation,7,2
Ghost Groundhog,Children,6,2
Giant Troopers,Children,5,2
Gilbert Pelican,Classics,7,2
Gilmore Boiled,Classics,5,2
Gold River,Comedy,4,2
Go Purple,Music,3,2
Gorgeous Bingo,Children,4,2
Graduate Lord,Children,7,2
Greatest North,Music,5,2
Grosse Wonderful,Music,5,2
Groundhog Uncut,Comedy,6,2
Gunfight Moon,Comedy,5,2
Hall Cassidy,Children,5,2
Hanover Galaxy,Music,5,2
Harper Dying,Animation,3,2
Hate Handicap,Comedy,4,2
Heartbreakers Bright,Children,3,2
Heaven Freedom,Comedy,7,2
Heavenly Gun,Music,5,2
Hedwig Alter,Comedy,7,2
Hollywood Anonymous,Children,7,2
Holocaust Highball,Children,6,2
Holy Tadpole,Classics,6,2
Home Pity,Music,7,2
Hook Chariots,Animation,7,2
Hope Tootsie,Classics,4,2
Horn Working,Animation,4,2
Hurricane Affair,Comedy,6,2
Hustler Party,Comedy,3,2
Hyde Doctor,Classics,5,2
Idols Snatchers,Children,5,2
Impact Aladdin,Music,6,2
Inch Jet,Animation,6,2
Insects Stone,Animation,3,2
Insider Arizona,Music,5,2
Intentions Empire,Animation,3,2
Invasion Cyclone,Children,5,2
Iron Moon,Classics,7,2
Ishtar Rocketeer,Animation,4,2
Island Exorcist,Classics,7,2
Jawbreaker Brooklyn,Music,5,2
Jaws Harry,Comedy,4,2
Jeepers Wedding,Classics,3,2
Jeopardy Encino,Classics,3,2
Jerk Paycheck,Classics,3,2
Jersey Sassy,Children,6,2
Jingle Sagebrush,Classics,6,2
Juggler Hardly,Animation,4,3
Jumping Wrath,Children,4,3
Knock Warlock,Comedy,4,3
Labyrinth League,Children,6,3
Language Cowboy,Children,5,3
Lawless Vision,Animation,6,3
League Hellfighters,Classics,5,3
Legally Secretary,Children,7,3
Legend Jedi,Music,7,3
Life Twisted,Comedy,4,3
Lights Deer,Classics,7,3
Lion Uncut,Comedy,6,3
Loathing Legally,Classics,4,3
Lonely Elephant,Comedy,3,3
Lovely Jingle,Classics,3,3
Lover Truman,Classics,3,3
Lucky Flying,Music,7,3
Luke Mummy,Animation,5,3
Magic Mallrats,Children,3,3
Magnificent Chitty,Classics,3,3
Maker Gables,Children,4,3
Malkovich Pet,Classics,6,3
Mallrats United,Comedy,4,3
Masked Bubble,Music,6,3
Massage Image,Animation,4,3
Memento Zoolander,Comedy,4,3
Menagerie Rushmore,Animation,7,3
Microcosmos Paradise,Children,6,3
Million Ace,Classics,4,3
Minority Kiss,Music,4,3
Miracle Virtual,Animation,3,3
Mission Zoolander,Animation,3,3
Model Fish,Children,4,3
Monster Spartacus,Music,6,3
Mulan Moon,Comedy,4,3
Murder Antitrust,Children,6,3
Musketeers Wait,Classics,7,3
Mystic Truman,Comedy,5,3
Nash Chocolat,Animation,6,3
Noon Papi,Children,5,3
October Submarine,Classics,6,3
Oleander Clue,Music,5,3
Operation Operation,Comedy,7,3
Oscar Gold,Animation,7,3
Outfield Massacre,Music,4,3
Oz Liaisons,Animation,4,3
Packer Madigan,Animation,3,3
Pajama Jawbreaker,Classics,3,3
Paradise Sabrina,Comedy,5,3
Party Knock,Comedy,7,3
Patient Sister,Classics,7,3
Perfect Groove,Comedy,7,3
Personal Ladybugs,Music,3,3
Pinocchio Simon,Comedy,4,3
Polish Brooklyn,Children,6,3
Pond Seattle,Animation,7,3
Potluck Mixed,Animation,3,3
Potter Connecticut,Animation,5,3
Prejudice Oleander,Classics,6,3
Pride Alamo,Animation,6,3
Punk Divorce,Animation,6,3
Pure Runner,Comedy,3,3
Rebel Airport,Music,7,3
Reds Pocus,Music,7,3
Requiem Tycoon,Classics,6,3
