name,standard_quartile,count
Animation,4,66
Animation,1,66
Animation,3,66
Animation,3,66
Animation,4,66
Animation,1,66
Animation,4,66
Animation,3,66
Animation,2,66
Animation,1,66
Animation,1,66
Animation,1,66
Animation,1,66
Animation,3,66
Animation,2,66
Animation,3,66
Animation,4,66
Animation,2,66
Animation,2,66
Animation,2,66
Animation,2,66
Animation,2,66
Animation,3,66
Animation,2,66
Animation,1,66
Animation,3,66
Animation,3,66
Animation,1,66
Animation,3,66
Animation,3,66
Animation,4,66
Animation,2,66
Animation,2,66
Animation,3,66
Animation,4,66
Animation,3,66
Animation,3,66
Animation,1,66
Animation,4,66
Animation,1,66
Animation,4,66
Animation,4,66
Animation,3,66
Animation,1,66
Animation,3,66
Animation,3,66
Animation,4,66
Animation,2,66
Animation,1,66
Animation,2,66
Animation,1,66
Animation,4,66
Animation,1,66
Animation,4,66
Animation,4,66
Animation,1,66
Animation,4,66
Animation,2,66
Animation,1,66
Animation,2,66
Animation,3,66
Animation,2,66
Animation,1,66
Animation,1,66
Animation,4,66
Animation,1,66
Children,4,60
Children,1,60
Children,2,60
Children,4,60
Children,2,60
Children,4,60
Children,4,60
Children,4,60
Children,4,60
Children,4,60
Children,2,60
Children,3,60
Children,4,60
Children,3,60
Children,3,60
Children,1,60
Children,3,60
Children,4,60
Children,1,60
Children,3,60
Children,4,60
Children,3,60
Children,1,60
Children,3,60
Children,3,60
Children,3,60
Children,4,60
Children,3,60
Children,1,60
Children,1,60
Children,4,60
Children,1,60
Children,1,60
Children,1,60
Children,2,60
Children,4,60
Children,4,60
Children,2,60
Children,1,60
Children,1,60
Children,2,60
Children,3,60
Children,2,60
Children,2,60
Children,2,60
Children,2,60
Children,3,60
Children,4,60
Children,2,60
Children,2,60
Children,4,60
Children,1,60
Children,2,60
Children,2,60
Children,3,60
Children,2,60
Children,2,60
Children,1,60
Children,4,60
Children,4,60
Classics,3,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,4,57
Classics,4,57
Classics,3,57
Classics,4,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,4,57
Classics,1,57
Classics,4,57
Classics,4,57
Classics,1,57
Classics,1,57
Classics,1,57
Classics,1,57
Classics,1,57
Classics,1,57
Classics,4,57
Classics,1,57
Classics,2,57
Classics,4,57
Classics,2,57
Classics,1,57
Classics,4,57
Classics,4,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,4,57
Classics,1,57
Classics,1,57
Classics,2,57
Classics,2,57
Classics,1,57
Classics,2,57
Classics,4,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,2,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,3,57
Classics,1,57
Classics,4,57
Classics,3,57
Comedy,4,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,1,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,2,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,3,58
Comedy,1,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Comedy,4,58
Music,3,51
Music,1,51
Music,1,51
Music,3,51
Music,3,51
Music,3,51
Music,3,51
Music,4,51
Music,2,51
